Time,value
2021.0,0.131280625
2022.0,0.3161504927416156
2023.0,0.3301716279243427
2024.0,0.3230351687008019
2025.0,0.3236687139804861
2026.0,0.32362152007372236
2027.0,0.3236243997136467
2028.0,0.32362427726079057
2029.0,0.32362427702327085
2030.0,0.32362427782155073
2031.0,0.323624277707472
2032.0,0.32362427771900626
2033.0,0.32362427771804814
2034.0,0.3236242777181148
2035.0,0.32362427771811114
2036.0,0.32362427771811125
2037.0,0.3236242777181112
2038.0,0.3236242777181112
2039.0,0.3236242777181112
2040.0,0.3236242777181112
2041.0,0.3236242777181112
2042.0,0.3236242777181112
2043.0,0.3236242777181112
2044.0,0.3236242777181112
2045.0,0.3236242777181112
2046.0,0.3236242777181112
2047.0,0.3236242777181112
2048.0,0.3236242777181112
2049.0,0.3236242777181112
2050.0,0.3236242777181112
2051.0,0.3236242777181112
2052.0,0.3236242777181112
2053.0,0.3236242777181112
2054.0,0.3236242777181112
2055.0,0.3236242777181112
2056.0,0.3236242777181112
2057.0,0.3236242777181112
2058.0,0.3236242777181112
2059.0,0.3236242777181112
2060.0,0.3236242777181112
2061.0,0.3236242777181112
2062.0,0.3236242777181112
2063.0,0.3236242777181112
2064.0,0.3236242777181112
2065.0,0.3236242777181112
2066.0,0.3236242777181112
2067.0,0.3236242777181112
2068.0,0.3236242777181112
2069.0,0.3236242777181112
2070.0,0.3236242777181112
2071.0,0.3236242777181112
2072.0,0.3236242777181112
2073.0,0.3236242777181112
2074.0,0.3236242777181112
2075.0,0.3236242777181112
2076.0,0.3236242777181112
2077.0,0.3236242777181112
2078.0,0.3236242777181112
2079.0,0.3236242777181112
2080.0,0.3236242777181112
2081.0,0.3236242777181112
2082.0,0.3236242777181112
2083.0,0.3236242777181112
2084.0,0.3236242777181112
2085.0,0.3236242777181112
2086.0,0.3236242777181112
2087.0,0.3236242777181112
2088.0,0.3236242777181112
2089.0,0.3236242777181112
2090.0,0.3236242777181112
2091.0,0.3236242777181112
2092.0,0.3236242777181112
2093.0,0.3236242777181112
2094.0,0.3236242777181112
2095.0,0.3236242777181112
